property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
house,independent,sector 39,1.6,17909.0,1.0,1,2,2.0,Old Property,892.0,0,0,0,0,0,0,40,"28.4434° N, 77.0515° E",28.4434,77.0515
flat,micasa sec,sector 48,1.5,12244.0,2.0,2,3,11.0,New Property,1361.0,0,0,0,0,0,0,44,"28.4177° N, 77.0359° E",28.4177,77.0359
house,independent,sector 48,0.82,3907.0,3.0,2,1,1.0,Moderately old,2333.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sobha city,sector 108,1.9,13758.0,2.0,2,2,8.0,Relatively New,1315.0,0,0,0,0,0,0,85,"28.5134° N, 76.9830° E",28.5134,76.983
flat,emaar emerald hills,sector 65,1.95,13928.0,3.0,3,3+,1.0,New Property,1556.0,0,0,0,0,0,2,117,"28.4030° N, 77.0690° E",28.403,77.069
flat,tata primanti,sector 72,3.21,15000.0,3.0,4,3+,15.0,Relatively New,2140.0,0,0,0,0,0,2,174,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,ramprastha primera,sector 37,1.1,6111.0,3.0,3,3,6.0,Relatively New,1700.0,0,0,0,0,0,0,149,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,pivotal devaan,sector 84,0.34,7039.0,2.0,2,1,1.0,Relatively New,537.0,0,0,0,0,0,2,84,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,sare homes,sector 92,0.5,4237.0,3.0,3,2,1.0,Relatively New,1124.0,0,0,0,0,0,0,26,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,aipl zen residences,sector 70,1.25,9904.0,2.0,2,3,19.0,Relatively New,1402.0,0,0,0,0,0,0,0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,dlf new town heights,sector 91,1.75,7402.0,4.0,4,3+,9.0,Relatively New,2251.0,0,0,0,0,0,0,88,"28.4014° N, 76.9225° E",28.4014,76.9225
house,independent,sector 24,1.45,2994.0,3.0,3,1,1.0,Old Property,540.0,0,0,0,0,0,0,9,"28.4939° N, 77.1038° E",28.4939,77.1038
flat,godrej aria,sector 79,0.96,13296.0,2.0,2,3,8.0,Relatively New,1044.0,0,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,tashee capital gateway,sector 111,0.96,6500.0,2.0,2,1,4.0,Relatively New,1408.0,0,0,0,0,0,0,53,"28.5238° N, 77.0320° E",28.5238,77.032
house,independent,sector 22,4.75,20059.0,7.0,5,3+,3.0,Old Property,2368.06,0,0,0,1,1,2,49,"28.5072° N, 77.0640° E",28.5072,77.064
flat,ireo the corridors,sector 67,1.85,9531.0,3.0,4,3,4.0,New Property,1941.0,0,0,0,0,0,2,150,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,mm antalya hills,sector 79,1.15,7496.0,3.0,3,3+,1.0,Relatively New,1200.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,chd avenue,sector 71,1.1,6790.0,3.0,3,3,11.0,Relatively New,1543.0,0,0,0,0,0,0,72,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,mm the marina,sector 68,1.02,8095.0,2.0,2,2,11.0,Relatively New,1250.0,0,0,0,0,0,2,49,"28.3853° N, 77.0484° E",28.3853,77.0484
house,suncity avenue 76,sector 76,0.75,10098.0,2.0,2,2,11.0,New Property,745.0,0,0,0,0,0,0,40,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,tulip violet,sector 69,1.29,8227.0,3.0,3,1,12.0,Relatively New,1493.0,0,0,0,0,0,2,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,emaar gurgaon greens,sector 102,1.45,8787.0,3.0,3,3,7.0,Relatively New,1571.0,0,0,0,0,0,0,159,"28.4750° N, 76.9715° E",28.475,76.9715
flat,mm golfestate,sector 65,5.3,24211.0,3.0,3,3,38.0,Moderately old,2573.0,0,0,0,0,0,1,49,"28.4030° N, 77.0690° E",28.403,77.069
house,independent,sector 57,6.25,23496.0,9.0,9,3+,3.0,New Property,2660.0,0,1,0,0,0,2,61,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,mm capital,sector 113,2.51,14800.0,3.0,3,3+,2.0,New Property,1696.0,0,0,0,0,0,0,49,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,unitech greenwood city,sector 45,2.4,12346.0,3.0,3,2,1.0,New Property,206.0,0,0,0,0,0,2,19,"28.4466° N, 77.0660° E",28.4466,77.066
flat,jmd gardens,sector 33,3.25,7510.0,4.0,4,3+,17.0,Old Property,4809.0,0,0,0,0,0,2,130,"28.4420° N, 77.0207° E",28.442,77.0207
flat,breez global heights,sector 48,0.39,4105.0,2.0,2,2,3.0,Relatively New,720.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
house,international city by sobha phase 1,sector 109,6.0,9627.0,4.0,5,3,2.0,Moderately old,6228.0,0,0,0,0,0,0,76,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,bestech park view residency,sector 2,1.26,8051.0,2.0,2,3,7.0,Moderately old,1490.0,0,0,0,0,0,0,84,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 25,9.9,29291.0,5.0,5,2,2.0,Moderately old,3375.0,0,0,0,1,0,2,106,"28.4844° N, 77.0860° E",28.4844,77.086
flat,bptp terra,sector 37,1.55,8558.0,3.0,3,3+,11.0,Relatively New,1725.0,0,0,0,0,0,0,79,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,central park flower valley,sector 33,3.3,13750.0,3.0,3,3,2.0,New Property,2667.0,0,0,0,0,0,0,61,"28.4420° N, 77.0207° E",28.442,77.0207
flat,shree vardhman flora,sector 90,0.92,4906.0,3.0,4,3,4.0,Relatively New,1538.0,0,0,0,0,0,0,116,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,shree vardhman flora,sector 90,0.92,4717.0,3.0,3,2,6.0,Relatively New,2167.0,0,0,0,0,0,2,49,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,zara aavaas,sector 104,0.4,7036.0,2.0,2,1,4.0,Relatively New,541.0,0,0,0,0,0,0,52,"28.4788° N, 76.9960° E",28.4788,76.996
flat,ss the leaf,sector 85,1.05,6163.0,2.0,2,3+,7.0,Relatively New,1591.0,0,0,0,0,0,0,144,"28.4042° N, 76.9513° E",28.4042,76.9513
house,independent,sector 108,1.7,5661.0,4.0,4,3+,1.0,Relatively New,3000.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
house,project mianwali colony,sector 12,2.0,14864.0,5.0,5,2,3.0,Old Property,1350.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,the center court,sector 88,2.1,12173.0,4.0,4,3,0.0,New Property,1745.0,0,0,0,0,0,0,142,"28.4220° N, 76.9571° E",28.422,76.9571
