property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,independent,sector 108,1.7,5661.0,3003.13,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4.0,4,3+,1.0,North-East,Undefined,,3000.0,2600.0,0,0,0,0,0,0,0,750.7825
house,project mianwali colony,sector 12,2.0,14864.0,1345.49,Built Up area: 1350 (125.42 sq.m.),5.0,5,2,3.0,East,Undefined,,1350.0,,0,0,0,0,0,0,0,269.098
flat,the center court,sector 88,2.1,12173.0,1725.1,Super Built up area 2175(202.06 sq.m.)Built Up area: 1745 sq.ft. (162.12 sq.m.)Carpet area: 1725 sq.ft. (160.26 sq.m.),4.0,4,3,0.0,East,New Property,2175.0,1745.0,1725.0,0,0,0,0,0,0,142,431.275
flat,imperia the esfera,sector 37,0.87,5513.0,1578.1,Super Built up area 1578(146.6 sq.m.),2.0,3,3+,9.0,North-East,New Property,1578.0,,,0,0,0,0,0,0,49,789.05
flat,dlf new town heights,sector 90,1.42,4864.0,2919.4,Super Built up area 2364(219.62 sq.m.),4.0,4,3+,8.0,East,Moderately old,2364.0,,,0,0,0,0,0,0,31,729.85
flat,dlf new town heights,sector 86,1.3,6735.0,1930.2,Super Built up area 1930(179.3 sq.m.)Built Up area: 1715 sq.ft. (159.33 sq.m.),3.0,3,3,15.0,South,Relatively New,1930.0,1715.0,,0,0,0,0,0,2,49,643.4
house,ganpati heights apartment,sector 13,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),3.0,6,2,3.0,South-East,Old Property,,115.0,,0,0,0,0,1,0,7,345.0
flat,indiabulls enigma,sector 110,4.1,10567.0,3880.0,Super Built up area 3880(360.46 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),5.0,5,2,10.0,East,Relatively New,3880.0,3500.0,3000.0,0,0,0,0,0,0,159,776.0
flat,dlf new town heights,sector 86,1.4,5942.0,2356.1,Super Built up area 2356(218.88 sq.m.),4.0,4,3+,20.0,South-East,Relatively New,2356.0,,,0,0,0,0,0,0,65,589.025
flat,tulip violet,sector 69,1.66,10134.0,1638.0,Super Built up area 1638(152.18 sq.m.),3.0,3,2,0.0,South-West,Relatively New,1638.0,,,0,0,0,0,0,0,157,546.0
flat,emaar mgf emerald floors premier,sector 65,3.0,15189.0,1975.1,Super Built up area 1975(183.48 sq.m.),4.0,4,3+,2.0,South-East,Relatively New,1975.0,,,0,0,0,0,0,0,87,493.775
house,huda floor,sector 38,4.0,8333.0,4800.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9.0,9,3+,2.0,East,Relatively New,,4800.0,3800.0,0,0,1,1,0,2,152,533.3333333333334
flat,ambience creacions,sector 22,3.5,19444.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3.0,4,3+,8.0,East,New Property,,,1800.0,0,0,0,0,0,2,57,600.0
flat,emaar palm gardens,sector 83,1.8,9474.0,1899.9,Built Up area: 1900 (176.52 sq.m.),3.0,4,0,9.0,,Undefined,,1900.0,,0,0,0,0,0,0,55,633.3000000000001
flat,tulip violet,sector 69,1.46,9252.0,1578.0,Super Built up area 1578(146.6 sq.m.),3.0,3,2,0.0,North-East,Relatively New,1578.0,,,0,0,0,0,0,2,174,526.0
flat,signature global infinity mall,sector 36,0.41,6269.0,654.0,Built Up area: 654 (60.76 sq.m.),2.0,2,3,3.0,,Undefined,,654.0,,0,0,0,0,0,0,0,327.0
flat,emaar mgf the palm drive,sector 66,3.5,15901.0,2201.1,Super Built up area 2201(204.48 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3,2,4.0,South,Relatively New,2201.0,2200.0,1800.0,0,0,0,0,0,0,89,733.6999999999999
flat,the close north,sector 50,2.35,11227.0,2093.2,Super Built up area 2093(194.45 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,3,3,8.0,North-East,Moderately old,2093.0,2000.0,1850.0,0,0,0,0,0,2,149,697.7333333333332
flat,smart world orchard,sector 61,1.85,14800.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2.0,2,2,3.0,,New Property,,,1250.0,0,0,0,0,0,0,44,625.0
flat,emaar mgf emerald floors premier,sector 65,3.5,17721.0,1975.1,Super Built up area 1975(183.48 sq.m.),4.0,4,3,4.0,East,Relatively New,1975.0,,,0,0,0,0,0,2,114,493.775
house,independent,sector 53,4.0,17780.0,2249.66,Plot area 250(209.03 sq.m.),5.0,5,2,3.0,,Relatively New,,2250.0,,1,0,0,0,0,0,23,449.93199999999996
house,international city by sobha phase 1,sector 109,5.5,22609.0,2432.64,Plot area 270(225.75 sq.m.),4.0,4,3+,2.0,North-East,New Property,,2430.0,,0,1,0,0,0,0,61,608.16
flat,ireo victory valley,sector 67,2.95,12235.0,2411.1,Super Built up area 2411(223.99 sq.m.)Carpet area: 1906 sq.ft. (177.07 sq.m.),3.0,3,3,10.0,North-West,Relatively New,2411.0,,1906.0,0,0,0,0,0,2,174,803.6999999999999
flat,adani brahma samsara vilasa,sector 63,4.49,14254.0,3150.0,Carpet area: 350 (292.64 sq.m.),4.0,4,3+,3.0,North,New Property,,,350.0,0,0,0,0,0,2,96,787.5
house,independent,sector 3,0.58,5800.0,1000.0,Plot area 550(51.1 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,3,2,2.0,South-East,Relatively New,,1000.0,900.0,0,0,0,0,0,0,8,500.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.0,1215.1,Super Built up area 1215(112.88 sq.m.),2.0,2,2,10.0,East,Relatively New,1215.0,,,0,0,0,0,0,0,141,607.55
house,dlf city plots phase 2,sector 25,6.5,33548.0,1937.5,Plot area 215(179.77 sq.m.),3.0,9,3+,3.0,West,Old Property,,1935.0,,1,1,1,1,0,2,142,645.8333333333334
flat,pivotal devaan,sector 84,0.36,7589.0,474.4,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2.0,2,1,9.0,West,Relatively New,583.0,,481.0,0,0,0,0,0,1,80,237.2
flat,rof ananda,sector 95,0.38,6919.0,549.2,Carpet area: 549.17 (51.02 sq.m.),2.0,2,1,4.0,,New Property,,,549.17,0,0,0,0,0,0,0,274.6
flat,eldeco accolade,sector 33,1.2,8043.0,1492.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2,2,0.0,North,New Property,,1492.0,900.0,0,0,0,0,0,0,55,746.0
flat,vatika city,sector 49,1.69,8622.0,1960.1,Carpet area: 1960 (182.09 sq.m.),3.0,3,3,3.0,North,Moderately old,,,1960.0,0,0,0,0,0,0,136,653.3666666666667
flat,aipl club residences,sector 70,0.95,10215.0,930.0,Built Up area: 930 (86.4 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2.0,2,1,11.0,North-East,New Property,,930.0,730.0,0,0,0,0,0,2,103,465.0
flat,smart world gems,sector 89,0.86,7796.0,1103.1,Super Built up area 1103(102.47 sq.m.),2.0,3,3,4.0,,Under Construction,1103.0,,,0,0,0,0,0,0,45,551.55
