property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 66,3.5,3.0,3,2,Relatively New,2200.0,0,0,0,Medium,Mid Floor
flat,sector 50,2.35,3.0,3,3,Moderately old,2000.0,0,0,2,Medium,Mid Floor
flat,sector 61,1.85,2.0,2,2,New Property,1389.0,0,0,0,Low,Mid Floor
flat,sector 65,3.5,4.0,4,3,Relatively New,1975.1,0,0,2,Medium,Mid Floor
house,sector 53,4.0,5.0,5,2,Relatively New,2250.0,0,0,0,Low,Mid Floor
house,sector 109,5.5,4.0,4,3+,New Property,2430.0,1,0,0,Medium,Low Floor
flat,sector 67,2.95,3.0,3,3,Relatively New,2207.0,0,0,2,High,Mid Floor
flat,sector 63,4.49,4.0,4,3+,New Property,3150.0,0,0,2,Medium,Mid Floor
house,sector 3,0.58,2.0,3,2,Relatively New,1000.0,0,0,0,Low,Low Floor
flat,sector 102,1.24,2.0,2,2,Relatively New,1157.0,0,0,0,Medium,Mid Floor
house,sector 25,6.5,3.0,9,3+,Old Property,1937.5,1,1,2,Medium,Mid Floor
flat,sector 84,0.36,2.0,2,1,Relatively New,545.0,0,0,1,Medium,Mid Floor
flat,sector 95,0.38,2.0,2,1,New Property,610.0,0,0,0,Low,Mid Floor
flat,sector 33,1.2,2.0,2,2,New Property,1492.0,0,0,0,Medium,Low Floor
flat,sector 49,1.69,3.0,3,3,Moderately old,2178.0,0,0,0,Medium,Mid Floor
flat,sector 70,0.95,2.0,2,1,New Property,930.0,0,0,2,Medium,High Floor
flat,sector 89,0.86,2.0,3,3,Under Construction,1050.0,0,0,0,Low,Mid Floor
house,sector 7,2.3,5.0,3,3+,Old Property,1350.0,1,0,0,Low,Mid Floor
house,sector 63,8.5,6.0,6,3+,Under Construction,3132.0,0,1,0,Low,Mid Floor
flat,sector 113,2.85,3.0,3,3+,New Property,2111.0,0,0,0,Medium,Mid Floor
flat,sector 2,1.55,3.0,4,3+,Moderately old,1829.0,0,0,0,Medium,Mid Floor
flat,sector 70,1.6,3.0,3,3,Relatively New,1574.0,0,0,0,Low,Mid Floor
flat,sector 65,3.5,3.0,3,3,New Property,2282.0,0,0,2,High,High Floor
flat,sector 67,4.5,4.0,4,3+,Relatively New,3160.0,0,0,2,Low,Low Floor
flat,sector 30,0.69,2.0,2,1,Old Property,943.0,0,0,0,Medium,Mid Floor
flat,sector 48,0.29,2.0,2,1,Relatively New,577.0,0,0,0,Low,Mid Floor
flat,sector 102,1.4,3.0,3,3,Relatively New,1452.0,0,0,0,Low,Mid Floor
flat,sector 90,1.29,3.0,3,3+,Relatively New,1817.0,0,0,0,High,High Floor
flat,sector 88,1.5,3.0,3,3+,New Property,1762.0,0,0,0,Low,High Floor
flat,sector 95,0.22,1.0,1,1,New Property,324.0,0,0,0,Low,Low Floor
flat,sector 109,2.3,3.0,4,3+,New Property,2462.0,0,0,0,Medium,Mid Floor
house,sector 10,4.25,4.0,3,2,Moderately old,2367.0,0,0,0,Low,Low Floor
flat,sector 43,4.2,3.0,4,2,Old Property,2048.0,0,0,0,Low,Mid Floor
flat,sector 63,3.0,3.0,3,3+,Relatively New,1642.0,0,0,2,Low,High Floor
flat,sector 85,1.06,2.0,2,2,Relatively New,1591.0,0,0,0,Low,High Floor
flat,sector 81,0.48,2.0,2,1,Relatively New,628.0,0,0,2,Medium,Mid Floor
flat,sector 50,2.35,3.0,3,3+,Moderately old,1950.0,0,0,2,High,Mid Floor
house,sector 3,0.7,2.0,3,1,Relatively New,999.0,0,1,0,Low,Low Floor
flat,sector 61,3.87,3.0,4,3+,New Property,2250.0,0,0,0,Medium,High Floor
flat,sector 92,1.5,3.0,3,3,Relatively New,1829.0,0,0,0,Low,Mid Floor
flat,sector 1,1.5,4.0,5,3+,New Property,2247.0,0,0,0,Low,Mid Floor
flat,sector 93,0.4,2.0,2,2,New Property,604.0,0,0,0,Low,High Floor
house,sector 13,2.25,10.0,10,2,Old Property,400.0,0,0,0,Low,Low Floor
house,sector 43,2.1,10.0,10,3+,New Property,549.0,1,0,0,Low,Mid Floor
flat,sector 78,0.88,3.0,4,3,Moderately old,1668.0,0,0,0,Medium,Mid Floor
flat,sector 70,5.0,6.0,7,3+,Relatively New,5333.0,0,0,0,Medium,Low Floor
flat,sector 63,7.8,4.0,4,0,Relatively New,3950.0,0,0,0,Medium,Mid Floor
flat,sector 77,0.92,3.0,3,3,Relatively New,1645.0,0,0,2,Low,High Floor
flat,sector 107,0.8,2.0,2,3+,Relatively New,1301.0,0,0,2,High,Mid Floor
flat,sector 83,1.25,3.0,2,1,Relatively New,1740.0,0,0,1,High,Mid Floor
flat,sector 85,1.77,3.0,4,3,Moderately old,1450.0,0,0,2,Medium,Mid Floor
flat,sector 67,2.0,3.0,3,2,Under Construction,1387.0,0,0,0,Low,Mid Floor
flat,sector 85,1.8,3.0,3,3,Under Construction,141.0,0,0,0,Low,High Floor
house,sector 4,2.25,3.0,2,1,Old Property,250.0,1,0,0,Low,Low Floor
house,sector 43,5.25,4.0,4,2,Old Property,1937.5,1,0,2,Medium,Low Floor
flat,sector 10,0.9,2.0,2,3,New Property,1143.0,0,0,0,Medium,Mid Floor
flat,sector 72,4.0,4.0,5,3+,Relatively New,2800.0,0,0,2,High,Mid Floor
house,sector 2,2.9,4.0,4,3,Relatively New,1560.77,0,1,2,Low,Low Floor
flat,sector 79,1.7,3.0,4,3+,New Property,1713.0,0,0,0,Medium,Mid Floor
flat,sector 72,3.19,4.0,5,3+,Relatively New,2500.0,0,0,2,High,High Floor
flat,sector 69,1.31,3.0,3,2,Relatively New,1465.0,0,0,2,High,High Floor
house,sector 67,1.83,4.0,4,2,New Property,2700.0,0,0,2,Medium,Mid Floor
house,sector 57,8.31,5.0,6,3+,Old Property,3438.0,1,1,0,Low,Mid Floor
