property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
house,independent,sector 25,10.85,38150.0,2841.67,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively New,,2844.0,,0,0,1,0,0,0,1,0,0,2,0,6,0,0,0,1,0,1,1,0,4,5,0,1,136
flat,dlf city plots phase,sector 24,6.5,18571.0,3500.1,Carpet area: 3500 (325.16 sq.m.),4,5,3+,3.0,North-East,New Property,,,3500.0,0,0,0,0,0,1,1,1,5,4,0,10,0,1,0,1,1,0,1,0,5,6,1,2,42
house,international city by sobha phase 1,sector 109,6.15,27333.0,2432.64,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,1,1,0,10,6,0,7,0,1,0,0,0,0,0,0,7,7,0,1,130
flat,experion windchants,sector 112,5.6,11529.0,4857.3,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately old,4857.0,3662.34,,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,1,0,1,1,0,5,12,0,1,157
flat,tata primanti,sector 72,6.5,15294.0,4250.0,Super Built up area 4250(394.84 sq.m.),4,4,3+,0.0,East,Relatively New,4250.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
house,emaar mgf marbella,sector 66,8.7,38667.0,2249.66,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,New Property,,267.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
flat,krrish provence estate,sector 59,7.5,7500.0,10000.0,Super Built up area 10000(929.03 sq.m.),5,6,3+,23.0,North-East,Relatively New,10000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
house,dlf city plots phase 2,sector 25,6.3,35000.0,1797.57,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
house,independent,sector 26,12.5,38580.0,3239.93,Plot area 360(301.01 sq.m.),5,5,3+,2.0,North,Old Property,,3240.0,,1,1,1,1,0,1,1,0,0,4,0,10,0,0,0,0,0,0,1,0,6,8,0,1,79
house,unitech nirvana birch court,sector 50,7.1,283333.0,236.81,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately old,,240.0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,49
