property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category,price
0.0,72.0,2.0,2,4.0,3.0,1582.0,0,0,0,1.0,0.0,1.78
0.0,69.0,4.0,4,3.0,0.0,2089.0,0,0,0,2.0,0.0,1.32
1.0,52.0,3.0,3,4.0,2.0,2160.0,1,1,2,1.0,1.0,4.6
0.0,75.0,3.0,2,2.0,0.0,1472.0,0,0,0,2.0,2.0,0.8
0.0,68.0,2.0,2,3.0,3.0,1286.0,0,0,0,1.0,2.0,1.15
0.0,2.0,4.0,5,4.0,3.0,2600.0,0,0,2,0.0,2.0,2.5
0.0,9.0,3.0,3,2.0,0.0,1958.0,0,0,0,2.0,1.0,1.8
0.0,84.0,3.0,3,4.0,3.0,1780.0,0,0,0,0.0,0.0,1.5
0.0,79.0,3.0,3,4.0,3.0,1650.0,0,0,1,1.0,0.0,2.4
1.0,57.0,3.0,3,2.0,0.0,600.0,0,0,0,1.0,1.0,0.5
0.0,76.0,3.0,4,3.0,1.0,2050.0,0,0,0,1.0,2.0,1.72
0.0,74.0,2.0,2,2.0,1.0,1278.0,0,0,2,2.0,0.0,0.86
0.0,72.0,2.0,2,4.0,3.0,1300.0,0,0,0,2.0,0.0,1.55
0.0,44.0,1.0,1,1.0,1.0,473.99,0,0,0,2.0,2.0,0.2
0.0,88.0,4.0,4,4.0,3.0,2000.0,0,0,0,2.0,2.0,1.78
1.0,44.0,4.0,4,3.0,2.0,3240.0,1,0,2,1.0,1.0,8.4
0.0,83.0,4.0,5,4.0,3.0,2678.0,0,0,0,2.0,1.0,1.85
0.0,9.0,3.0,3,4.0,3.0,2060.0,0,0,0,0.0,2.0,1.8
1.0,48.0,6.0,3,4.0,3.0,900.0,0,0,0,2.0,2.0,2.25
0.0,90.0,4.0,4,2.0,0.0,1667.0,0,0,1,2.0,1.0,0.87
0.0,86.0,3.0,2,0.0,1.0,1423.0,0,0,0,1.0,2.0,1.71
0.0,2.0,3.0,4,3.0,3.0,1799.0,0,0,0,1.0,0.0,1.8
0.0,86.0,3.0,2,3.0,0.0,1476.0,0,0,2,2.0,2.0,1.55
0.0,84.0,2.0,2,1.0,1.0,1295.0,0,0,0,2.0,2.0,0.78
1.0,44.0,4.0,5,4.0,0.0,4000.0,1,0,2,1.0,1.0,8.4
0.0,44.0,4.0,5,4.0,3.0,4422.0,0,0,0,1.0,1.0,11.25
0.0,64.0,4.0,4,0.0,3.0,2556.0,0,0,0,1.0,2.0,1.85
0.0,71.0,2.0,2,2.0,1.0,1444.0,0,0,0,1.0,0.0,1.0
1.0,23.0,5.0,5,2.0,2.0,1453.13,0,0,2,1.0,2.0,2.7
0.0,83.0,3.0,4,3.0,1.0,2293.0,0,0,0,1.0,2.0,1.65
0.0,53.0,3.0,3,3.0,2.0,1800.0,0,0,2,2.0,2.0,1.35
0.0,6.0,3.0,4,4.0,3.0,1345.0,0,0,0,0.0,2.0,1.05
0.0,68.0,2.0,2,2.0,3.0,1500.0,0,0,0,2.0,2.0,1.15
0.0,79.0,3.0,3,3.0,0.0,1982.0,0,0,2,1.0,1.0,1.28
0.0,92.0,2.0,2,2.0,3.0,744.0,0,0,0,1.0,2.0,0.48
0.0,86.0,3.0,3,3.0,1.0,1423.0,0,0,0,2.0,2.0,1.33
0.0,83.0,2.0,2,3.0,3.0,1630.0,0,0,0,1.0,2.0,1.18
0.0,64.0,3.0,3,4.0,3.0,2047.1,0,0,2,0.0,2.0,2.78
0.0,44.0,2.0,1,3.0,1.0,828.0,0,0,0,2.0,1.0,0.54
0.0,0.0,4.0,6,4.0,3.0,2611.0,0,0,0,1.0,2.0,1.6
1.0,49.0,9.0,9,4.0,0.0,2712.51,1,0,2,1.0,2.0,5.5
0.0,81.0,3.0,3,3.0,3.0,1600.0,0,0,2,0.0,2.0,1.76
0.0,44.0,3.0,3,4.0,3.0,1600.0,0,0,0,0.0,2.0,1.07
0.0,34.0,3.0,3,3.0,3.0,1829.0,0,0,2,2.0,2.0,1.05
1.0,26.0,5.0,5,4.0,2.0,1800.0,1,1,0,2.0,1.0,5.8
0.0,90.0,4.0,4,3.0,3.0,2093.0,0,0,0,1.0,2.0,1.0
0.0,86.0,3.0,3,2.0,1.0,1423.0,0,0,0,1.0,2.0,1.2
0.0,66.0,2.0,2,2.0,0.0,1100.0,0,0,0,1.0,2.0,0.75
0.0,2.0,3.0,3,3.0,3.0,1611.0,0,0,0,2.0,1.0,1.8
0.0,37.0,2.0,2,1.0,3.0,1056.0,0,0,2,1.0,2.0,0.32
