property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,1,87
house,independent,sector 12,70.0,6034.0,116009.0,Plot area 1160(107.77 sq.m.),3,3,0,1.0,North-East,Relatively New,,1160.0,,0,0,0,0,0,0,23
house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively New,,3600.0,,1,1,0,1,0,0,138
house,ss hibiscus,sector 50,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,1,1,0,0,0,2,160
house,nul,sector 28,12.5,51440.0,2430.0,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively New,,2430.0,,1,1,0,1,1,2,137
house,independent,sector 46,6.81,36911.0,1845.0,Plot area 205(171.41 sq.m.),12,14,3+,1.0,East,New Property,,1845.0,,0,1,0,0,1,1,40
house,emaar mgf marbella,sector 66,9.0,21251.0,4235.0,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,1.0,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,1,114
house,independent,sector 3,37.0,7916.0,46741.0,Built Up area: 480 (44.59 sq.m.),1,1,1,1.0,,Relatively New,,480.0,,0,0,0,0,0,0,0
house,independent,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately Old,,3240.0,,0,1,0,0,0,0,20
house,unitech uniworld resorts,sector 33,9.5,23333.0,4071.0,Plot area 500(418.06 sq.m.),5,7,3+,2.0,East,Undefined,,500.0,,1,1,1,1,0,0,57
house,rajendra park sec 105,sector 15,80.0,8888.0,90009.0,Plot area 900(83.61 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),9,5,3+,3.0,,Old Property,,990.0,975.0,0,0,0,0,0,0,0
house,dlf city phase 1,sector 26,9.25,47803.0,1935.0,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),12,12,3+,4.0,North-East,New Property,,7000.0,,0,1,0,1,0,1,43
flat,dlf the belaire,sector 54,7.0,23333.0,3000.0,Super Built up area 3000(278.71 sq.m.),4,6,3+,12.0,East,Moderately Old,3000.0,,,0,0,0,0,0,1,108
house,not applicable,sector 4,75.0,11718.0,64004.0,Plot area 640(59.46 sq.m.),5,4,3,2.0,,Moderately Old,,640.0,,0,0,0,0,0,0,0
flat,conscient elevate,sector 59,6.75,19882.0,3395.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,New Property,3395.0,,1855.0,0,0,0,0,0,0,31
